timestamp,reaction_time,stimulus_type,stimulus_color
2025-01-14 16:07:42.141430,468.51229667663574,cross,green
2025-01-14 16:07:45.390171,656.3363075256348,square,red
2025-01-14 16:07:48.254591,567.5644874572754,cross,red
2025-01-14 16:07:50.852344,47.65725135803223,circle,blue
2025-01-14 16:07:53.633813,410.80164909362793,circle,red
2025-01-14 16:07:56.363360,449.54729080200195,square,yellow
2025-01-14 16:07:59.355023,608.1769466400146,circle,red
2025-01-14 16:08:01.972220,454.1192054748535,circle,blue
2025-01-14 16:08:04.934369,462.0490074157715,cross,green
2025-01-14 16:08:07.844773,506.09779357910156,cross,yellow
2025-01-14 16:08:10.128543,51.43237113952637,square,blue
2025-01-14 16:09:00.372829,0.0,circle,blue
2025-01-14 16:09:03.105255,0.0,circle,red
2025-01-14 16:09:06.262297,561.4030361175537,cross,red
2025-01-14 16:12:49.370783,236.80806159973145,cross,yellow
2025-01-14 16:12:51.613566,0.0,circle,green
2025-01-14 16:12:54.004656,0.0,square,yellow
2025-01-14 16:12:58.623353,2017.242193222046,square,blue
2025-01-14 16:13:01.477068,616.9030666351318,circle,blue
2025-01-14 16:13:04.034336,100.0521183013916,cross,red
2025-01-14 16:13:06.630262,0.0,square,yellow
2025-01-14 16:13:10.014291,1188.4291172027588,cross,yellow
2025-01-14 16:13:12.548171,97.76639938354492,square,red
2025-01-14 16:13:15.210591,412.28652000427246,circle,red
2025-01-14 16:13:18.012929,455.8079242706299,circle,yellow
2025-01-14 16:13:21.007783,551.8176555633545,circle,yellow
2025-01-14 16:13:23.541548,501.13749504089355,square,blue
2025-01-14 16:13:26.393968,406.9840908050537,square,red
2025-01-14 16:13:29.264333,406.8562984466553,circle,blue
2025-01-14 16:13:32.005311,508.93521308898926,square,red
2025-01-14 16:13:34.676253,362.31064796447754,circle,green
2025-01-14 16:13:37.483937,407.3648452758789,circle,green
2025-01-14 16:13:40.408413,462.5558853149414,cross,blue
2025-01-14 16:13:43.017846,355.70621490478516,square,yellow
2025-01-14 16:13:45.825816,354.13622856140137,circle,blue
2025-01-14 16:13:48.564752,404.895544052124,cross,green
2025-01-14 16:13:51.055370,154.14977073669434,cross,red
2025-01-14 16:13:53.656730,201.1406421661377,cross,yellow
2025-01-14 16:13:55.922222,0.0,cross,blue
2025-01-14 16:13:58.211909,0.0,circle,green
2025-01-14 16:14:00.609605,0.0,square,red
2025-01-14 16:14:03.162078,100.75616836547852,square,yellow
2025-01-14 16:14:06.039596,410.23945808410645,cross,red
2025-01-14 16:14:08.225660,0.0,cross,yellow
2025-01-14 16:14:11.063081,404.90102767944336,circle,red
2025-01-14 16:14:14.037747,507.8697204589844,square,blue
2025-01-14 16:14:17.011042,454.07915115356445,square,yellow
2025-01-14 16:14:24.762438,0.0,cross,green
2025-01-14 16:14:26.943331,0.0,circle,green
2025-01-15 13:51:39.848717,98.29258918762207,square,green
2025-01-15 13:51:42.669117,0.0,cross,blue
2025-01-15 13:51:45.282029,0.0,circle,red
2025-01-15 13:51:48.892459,1154.3042659759521,square,red
2025-01-15 13:51:54.420780,414.45112228393555,circle,red
2025-01-15 13:51:57.409712,464.3697738647461,circle,red
2025-01-15 13:52:00.342421,322.77417182922363,cross,red
2025-01-15 13:52:02.834343,0.0,cross,yellow
2025-01-15 13:52:05.446808,362.931489944458,square,yellow
2025-01-15 13:52:08.340515,115.79656600952148,circle,yellow
2025-01-15 13:52:11.228541,378.91173362731934,cross,red
2025-01-15 13:52:13.540763,0.0,cross,red
2025-01-15 13:52:16.221283,0.0,circle,green
2025-01-15 13:52:18.533758,0.0,circle,green
2025-01-15 13:52:21.218966,195.72114944458008,circle,blue
2025-01-15 13:52:23.872484,54.665565490722656,cross,green
2025-01-15 13:52:25.978103,0.0,square,yellow
2025-01-15 13:52:28.317606,0.0,cross,yellow
2025-01-15 13:52:31.281070,242.63596534729004,circle,blue
2025-01-15 13:52:33.839852,0.0,cross,blue
2025-01-15 13:52:36.682193,0.0,cross,red
2025-01-15 13:52:38.795203,0.0,cross,green
2025-01-15 13:52:40.942861,66.3750171661377,cross,blue
2025-01-15 13:52:43.289235,0.0,square,green
2025-01-15 13:52:45.519801,0.0,circle,blue
2025-01-15 13:52:47.897116,0.0,cross,yellow
2025-01-15 13:52:50.944063,479.7101020812988,cross,blue
2025-01-15 13:52:53.582838,253.16262245178223,cross,green
2025-01-15 13:52:55.948607,0.0,square,green
2025-01-15 13:52:58.580486,379.41431999206543,square,red
2025-01-15 13:53:29.536189,0.0,circle,blue
2025-01-21 08:50:54.625439,239.8383617401123,cross,yellow
2025-01-21 08:51:00.194364,515.5975818634033,circle,yellow
2025-01-21 08:51:02.893676,607.9792976379395,circle,green
2025-01-21 08:51:08.220743,327.53467559814453,circle,red
2025-01-21 08:51:10.430434,0.0,square,blue
2025-01-21 08:51:15.137334,43.976545333862305,cross,green
2025-01-21 08:51:17.439761,229.02464866638184,square,red
2025-01-21 08:51:20.302132,142.64631271362305,square,green
2025-01-21 08:51:24.861937,45.84074020385742,circle,yellow
2025-01-21 08:51:29.728067,0.0,cross,green
2025-01-21 08:51:33.289707,984.2660427093506,cross,blue
2025-01-21 08:51:38.078408,46.07963562011719,square,blue
